2020-03-25 09:54:01.577  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-03-25 09:54:01.578  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-03-25 09:54:01.578  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-03-25 09:54:01.579  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-03-25 09:54:01.579  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-03-25 09:54:01.580  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-03-25 09:54:02.076  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-03-25 09:54:02.082  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-03-25 09:54:02.089  INFO 18408 --- [restartedMain] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-03-25 09:54:02.098  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1585122842095 with initial instances count: 1
2020-03-25 09:54:02.101  INFO 18408 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application ALBUMS-WS with eureka with status UP
2020-03-25 09:54:02.103  INFO 18408 --- [restartedMain] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1585122842103, current=UP, previous=STARTING]
2020-03-25 09:54:02.109  INFO 18408 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ALBUMS-WS/albums-ws:5d642b5f83969916de52ed3254e34c65: registering service...
2020-03-25 09:54:02.116  INFO 18408 --- [restartedMain] c.a.p.a.a.PhotoAppApiAlbumsApplication   : Started PhotoAppApiAlbumsApplication in 27.092 seconds (JVM running for 28.466)
2020-03-25 09:54:02.193  INFO 18408 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_ALBUMS-WS/albums-ws:5d642b5f83969916de52ed3254e34c65 - registration status: 204
2020-03-25 09:59:01.622  INFO 18408 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-03-25 10:04:01.658  INFO 18408 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-03-25 10:09:01.663  INFO 18408 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-03-25 10:14:01.672  INFO 18408 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-03-25 10:19:01.679  INFO 18408 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
